sample_id	env	psn	title	public	bodysite	latitude	taxon_id	body_site	elevation	env_biome	longitude	host_taxid	description	env_feature	env_package	sample_type	body_habitat	body_product	env_material	geo_loc_name	dna_extracted	sequencecenter	host_subject_id	scientific_name	host_common_name	animations_gradient	host_scientific_name	animations_trajectory	physical_specimen_location	physical_specimen_remaining	qiita_study_id
1928.SRS011173.SRX020666.SRR044963	Oral	700014991	Structure, function and diversity of the healthy human microbiome (V35)	TRUE	Supragingival_plaque	38.98	447426	UBERON:tooth	97	urban biome	-77.11	9606	HMP_SRS011173.SRX020666.SRR044963	host-associated habitat	human-oral	supragingival dental plaque	UBERON:oral cavity	UBERON:supragingival dental plaque	organic material	USA	TRUE	WUGSC	700014991	human oral metagenome	human	0	Homo sapiens	NA	HMP-DACC	FALSE	1928
1928.SRS011173.SRX020669.SRR049317	Oral	700014991	Structure, function and diversity of the healthy human microbiome (V35)	TRUE	Supragingival_plaque	38.98	447426	UBERON:tooth	97	urban biome	-77.11	9606	HMP_SRS011173.SRX020669.SRR049317	host-associated habitat	human-oral	supragingival dental plaque	UBERON:oral cavity	UBERON:supragingival dental plaque	organic material	USA	TRUE	WUGSC	700014991	human oral metagenome	human	0	Homo sapiens	NA	HMP-DACC	FALSE	1928
1928.SRS011175.SRX020666.SRR044910	Oral	700014994	Structure, function and diversity of the healthy human microbiome (V35)	TRUE	Subgingival_plaque	38.98	447426	UBERON:tooth	97	urban biome	-77.11	9606	HMP_SRS011175.SRX020666.SRR044910	host-associated habitat	human-oral	subgingival dental plaque	UBERON:oral cavity	UBERON:subgingival dental plaque	organic material	USA	TRUE	WUGSC	700014994	human oral metagenome	human	0	Homo sapiens	NA	HMP-DACC	FALSE	1928
1928.SRS011175.SRX020669.SRR045292	Oral	700014994	Structure, function and diversity of the healthy human microbiome (V35)	TRUE	Subgingival_plaque	38.98	447426	UBERON:tooth	97	urban biome	-77.11	9606	HMP_SRS011175.SRX020669.SRR045292	host-associated habitat	human-oral	subgingival dental plaque	UBERON:oral cavity	UBERON:subgingival dental plaque	organic material	USA	TRUE	WUGSC	700014994	human oral metagenome	human	0	Homo sapiens	NA	HMP-DACC	FALSE	1928
1928.SRS011177.SRX020666.SRR044936	Skin	700014997	Structure, function and diversity of the healthy human microbiome (V35)	TRUE	L_Retroauricular_crease	38.98	539655	UBERON:skin of external ear	97	urban biome	-77.11	9606	HMP_SRS011177.SRX020666.SRR044936	host-associated habitat	human-skin	sebum	UBERON:skin	UBERON:sebum	sebum	USA	TRUE	WUGSC	700014997	human skin metagenome	human	0	Homo sapiens	NA	HMP-DACC	FALSE	1928
1928.SRS011177.SRX020669.SRR045318	Skin	700014997	Structure, function and diversity of the healthy human microbiome (V35)	TRUE	L_Retroauricular_crease	38.98	539655	UBERON:skin of external ear	97	urban biome	-77.11	9606	HMP_SRS011177.SRX020669.SRR045318	host-associated habitat	human-skin	sebum	UBERON:skin	UBERON:sebum	sebum	USA	TRUE	WUGSC	700014997	human skin metagenome	human	0	Homo sapiens	NA	HMP-DACC	FALSE	1928
1928.SRS011179.SRX020515.SRR045376	Skin	700015000	Structure, function and diversity of the healthy human microbiome (V35)	TRUE	R_Retroauricular_crease	38.98	539655	UBERON:skin of external ear	97	urban biome	-77.11	9606	HMP_SRS011179.SRX020515.SRR045376	host-associated habitat	human-skin	sebum	UBERON:skin	UBERON:sebum	sebum	USA	TRUE	WUGSC	700015000	human skin metagenome	human	0	Homo sapiens	NA	HMP-DACC	FALSE	1928
1928.SRS011180.SRX020515.SRR045372	Skin	700015003	Structure, function and diversity of the healthy human microbiome (V35)	TRUE	L_Antecubital_fossa	38.98	539655	UBERON:skin of elbow	97	urban biome	-77.11	9606	HMP_SRS011180.SRX020515.SRR045372	host-associated habitat	human-skin	sebum	UBERON:skin	UBERON:sebum	sebum	USA	TRUE	WUGSC	700015003	human skin metagenome	human	0	Homo sapiens	NA	HMP-DACC	FALSE	1928
1928.SRS011180.SRX020571.SRR045481	Skin	700015003	Structure, function and diversity of the healthy human microbiome (V35)	TRUE	L_Antecubital_fossa	38.98	539655	UBERON:skin of elbow	97	urban biome	-77.11	9606	HMP_SRS011180.SRX020571.SRR045481	host-associated habitat	human-skin	sebum	UBERON:skin	UBERON:sebum	sebum	USA	TRUE	WUGSC	700015003	human skin metagenome	human	0	Homo sapiens	NA	HMP-DACC	FALSE	1928
1928.SRS011181.SRX020515.SRR045370	Skin	700015006	Structure, function and diversity of the healthy human microbiome (V35)	TRUE	R_Antecubital_fossa	38.98	539655	UBERON:skin of elbow	97	urban biome	-77.11	9606	HMP_SRS011181.SRX020515.SRR045370	host-associated habitat	human-skin	sebum	UBERON:skin	UBERON:sebum	sebum	USA	TRUE	WUGSC	700015006	human skin metagenome	human	0	Homo sapiens	NA	HMP-DACC	FALSE	1928
1928.SRS011182.SRX020515.SRR045359	Skin	700015009	Structure, function and diversity of the healthy human microbiome (V35)	TRUE	Anterior_nares	38.98	539655	UBERON:skin of nose	97	urban biome	-77.11	9606	HMP_SRS011182.SRX020515.SRR045359	host-associated habitat	human-skin	sebum	UBERON:skin	UBERON:sebum	sebum	USA	TRUE	WUGSC	700015009	human skin metagenome	human	0	Homo sapiens	NA	HMP-DACC	FALSE	1928
1928.SRS011271.SRX020666.SRR044974	Stool	700015250	Structure, function and diversity of the healthy human microbiome (V35)	TRUE	Stool	38.98	408170	UBERON:feces	97	urban biome	-77.11	9606	HMP_SRS011271.SRX020666.SRR044974	host-associated habitat	human-gut	stool	UBERON:feces	UBERON:feces	feces	USA	TRUE	WUGSC	700015250	human gut metagenome	human	0	Homo sapiens	NA	HMP-DACC	FALSE	1928
1928.SRS011271.SRX020669.SRR049646	Stool	700015250	Structure, function and diversity of the healthy human microbiome (V35)	TRUE	Stool	38.98	408170	UBERON:feces	97	urban biome	-77.11	9606	HMP_SRS011271.SRX020669.SRR049646	host-associated habitat	human-gut	stool	UBERON:feces	UBERON:feces	feces	USA	TRUE	WUGSC	700015250	human gut metagenome	human	0	Homo sapiens	NA	HMP-DACC	FALSE	1928
1928.SRS011273.SRX020666.SRR044970	Oral	700015260	Structure, function and diversity of the healthy human microbiome (V35)	TRUE	Saliva	38.98	447426	UBERON:saliva	97	urban biome	-77.11	9606	HMP_SRS011273.SRX020666.SRR044970	host-associated habitat	human-oral	saliva	UBERON:saliva	UBERON:saliva	sebum	USA	TRUE	WUGSC	700015260	human oral metagenome	human	0	Homo sapiens	NA	HMP-DACC	FALSE	1928
1928.SRS011273.SRX020669.SRR045343	Oral	700015260	Structure, function and diversity of the healthy human microbiome (V35)	TRUE	Saliva	38.98	447426	UBERON:saliva	97	urban biome	-77.11	9606	HMP_SRS011273.SRX020669.SRR045343	host-associated habitat	human-oral	saliva	UBERON:saliva	UBERON:saliva	sebum	USA	TRUE	WUGSC	700015260	human oral metagenome	human	0	Homo sapiens	NA	HMP-DACC	FALSE	1928
1928.SRS011275.SRX020666.SRR044913	Oral	700015265	Structure, function and diversity of the healthy human microbiome (V35)	TRUE	Tongue_dorsum	38.98	447426	UBERON:tongue	97	urban biome	-77.11	9606	HMP_SRS011275.SRX020666.SRR044913	host-associated habitat	human-oral	saliva	UBERON:oral cavity	UBERON:saliva	sebum	USA	TRUE	WUGSC	700015265	human oral metagenome	human	0	Homo sapiens	NA	HMP-DACC	FALSE	1928
1928.SRS011275.SRX020669.SRR045295	Oral	700015265	Structure, function and diversity of the healthy human microbiome (V35)	TRUE	Tongue_dorsum	38.98	447426	UBERON:tongue	97	urban biome	-77.11	9606	HMP_SRS011275.SRX020669.SRR045295	host-associated habitat	human-oral	saliva	UBERON:oral cavity	UBERON:saliva	sebum	USA	TRUE	WUGSC	700015265	human oral metagenome	human	0	Homo sapiens	NA	HMP-DACC	FALSE	1928
1928.SRS011277.SRX020515.SRR045360	Oral	700015268	Structure, function and diversity of the healthy human microbiome (V35)	TRUE	Hard_palate	38.98	447426	UBERON:hard palate	97	urban biome	-77.11	9606	HMP_SRS011277.SRX020515.SRR045360	host-associated habitat	human-oral	saliva	UBERON:oral cavity	UBERON:saliva	sebum	USA	TRUE	WUGSC	700015268	human oral metagenome	human	0	Homo sapiens	NA	HMP-DACC	FALSE	1928
1928.SRS011277.SRX020570.SRR045450	Oral	700015268	Structure, function and diversity of the healthy human microbiome (V35)	TRUE	Hard_palate	38.98	447426	UBERON:hard palate	97	urban biome	-77.11	9606	HMP_SRS011277.SRX020570.SRR045450	host-associated habitat	human-oral	saliva	UBERON:oral cavity	UBERON:saliva	sebum	USA	TRUE	WUGSC	700015268	human oral metagenome	human	0	Homo sapiens	NA	HMP-DACC	FALSE	1928
1928.SRS011279.SRX020666.SRR044988	Oral	700015271	Structure, function and diversity of the healthy human microbiome (V35)	TRUE	Buccal_mucosa	38.98	447426	UBERON:buccal mucosa	97	urban biome	-77.11	9606	HMP_SRS011279.SRX020666.SRR044988	host-associated habitat	human-oral	saliva	UBERON:oral cavity	UBERON:saliva	sebum	USA	TRUE	WUGSC	700015271	human oral metagenome	human	0	Homo sapiens	NA	HMP-DACC	FALSE	1928
1928.SRS011279.SRX020669.SRR045358	Oral	700015271	Structure, function and diversity of the healthy human microbiome (V35)	TRUE	Buccal_mucosa	38.98	447426	UBERON:buccal mucosa	97	urban biome	-77.11	9606	HMP_SRS011279.SRX020669.SRR045358	host-associated habitat	human-oral	saliva	UBERON:oral cavity	UBERON:saliva	sebum	USA	TRUE	WUGSC	700015271	human oral metagenome	human	0	Homo sapiens	NA	HMP-DACC	FALSE	1928
1928.SRS011281.SRX020660.SRR044860	Oral	700015274	Structure, function and diversity of the healthy human microbiome (V35)	TRUE	Attached_Keratinized_gingiva	38.98	447426	UBERON:gingiva	97	urban biome	-77.11	9606	HMP_SRS011281.SRX020660.SRR044860	host-associated habitat	human-oral	saliva	UBERON:oral cavity	UBERON:saliva	sebum	USA	TRUE	WUGSC	700015274	human oral metagenome	human	0	Homo sapiens	NA	HMP-DACC	FALSE	1928
1928.SRS011281.SRX020668.SRR045088	Oral	700015274	Structure, function and diversity of the healthy human microbiome (V35)	TRUE	Attached_Keratinized_gingiva	38.98	447426	UBERON:gingiva	97	urban biome	-77.11	9606	HMP_SRS011281.SRX020668.SRR045088	host-associated habitat	human-oral	saliva	UBERON:oral cavity	UBERON:saliva	sebum	USA	TRUE	WUGSC	700015274	human oral metagenome	human	0	Homo sapiens	NA	HMP-DACC	FALSE	1928
1928.SRS011283.SRX020666.SRR044951	Oral	700015277	Structure, function and diversity of the healthy human microbiome (V35)	TRUE	Palatine_Tonsils	38.98	447426	UBERON:palatine tonsil	97	urban biome	-77.11	9606	HMP_SRS011283.SRX020666.SRR044951	host-associated habitat	human-oral	saliva	UBERON:oral cavity	UBERON:saliva	sebum	USA	TRUE	WUGSC	700015277	human oral metagenome	human	0	Homo sapiens	NA	HMP-DACC	FALSE	1928
1928.SRS011283.SRX020669.SRR045329	Oral	700015277	Structure, function and diversity of the healthy human microbiome (V35)	TRUE	Palatine_Tonsils	38.98	447426	UBERON:palatine tonsil	97	urban biome	-77.11	9606	HMP_SRS011283.SRX020669.SRR045329	host-associated habitat	human-oral	saliva	UBERON:oral cavity	UBERON:saliva	sebum	USA	TRUE	WUGSC	700015277	human oral metagenome	human	0	Homo sapiens	NA	HMP-DACC	FALSE	1928
1928.SRS011285.SRX020660.SRR047473	Oral	700015280	Structure, function and diversity of the healthy human microbiome (V35)	TRUE	Throat	38.98	447426	UBERON:throat	97	urban biome	-77.11	9606	HMP_SRS011285.SRX020660.SRR047473	host-associated habitat	human-oral	saliva	UBERON:oral cavity	UBERON:saliva	sebum	USA	TRUE	WUGSC	700015280	human oral metagenome	human	0	Homo sapiens	NA	HMP-DACC	FALSE	1928
1928.SRS011285.SRX020662.SRR045419	Oral	700015280	Structure, function and diversity of the healthy human microbiome (V35)	TRUE	Throat	38.98	447426	UBERON:throat	97	urban biome	-77.11	9606	HMP_SRS011285.SRX020662.SRR045419	host-associated habitat	human-oral	saliva	UBERON:oral cavity	UBERON:saliva	sebum	USA	TRUE	WUGSC	700015280	human oral metagenome	human	0	Homo sapiens	NA	HMP-DACC	FALSE	1928
1928.SRS011285.SRX020664.SRR045444	Oral	700015280	Structure, function and diversity of the healthy human microbiome (V35)	TRUE	Throat	38.98	447426	UBERON:throat	97	urban biome	-77.11	9606	HMP_SRS011285.SRX020664.SRR045444	host-associated habitat	human-oral	saliva	UBERON:oral cavity	UBERON:saliva	sebum	USA	TRUE	WUGSC	700015280	human oral metagenome	human	0	Homo sapiens	NA	HMP-DACC	FALSE	1928
1928.SRS011285.SRX020668.SRR045095	Oral	700015280	Structure, function and diversity of the healthy human microbiome (V35)	TRUE	Throat	38.98	447426	UBERON:throat	97	urban biome	-77.11	9606	HMP_SRS011285.SRX020668.SRR045095	host-associated habitat	human-oral	saliva	UBERON:oral cavity	UBERON:saliva	sebum	USA	TRUE	WUGSC	700015280	human oral metagenome	human	0	Homo sapiens	NA	HMP-DACC	FALSE	1928
1928.SRS011287.SRX020660.SRR044887	Oral	700015283	Structure, function and diversity of the healthy human microbiome (V35)	TRUE	Supragingival_plaque	38.98	447426	UBERON:tooth	97	urban biome	-77.11	9606	HMP_SRS011287.SRX020660.SRR044887	host-associated habitat	human-oral	supragingival dental plaque	UBERON:oral cavity	UBERON:supragingival dental plaque	organic material	USA	TRUE	WUGSC	700015283	human oral metagenome	human	0	Homo sapiens	NA	HMP-DACC	FALSE	1928
1928.SRS011287.SRX020662.SRR045413	Oral	700015283	Structure, function and diversity of the healthy human microbiome (V35)	TRUE	Supragingival_plaque	38.98	447426	UBERON:tooth	97	urban biome	-77.11	9606	HMP_SRS011287.SRX020662.SRR045413	host-associated habitat	human-oral	supragingival dental plaque	UBERON:oral cavity	UBERON:supragingival dental plaque	organic material	USA	TRUE	WUGSC	700015283	human oral metagenome	human	0	Homo sapiens	NA	HMP-DACC	FALSE	1928
1928.SRS011287.SRX020664.SRR045439	Oral	700015283	Structure, function and diversity of the healthy human microbiome (V35)	TRUE	Supragingival_plaque	38.98	447426	UBERON:tooth	97	urban biome	-77.11	9606	HMP_SRS011287.SRX020664.SRR045439	host-associated habitat	human-oral	supragingival dental plaque	UBERON:oral cavity	UBERON:supragingival dental plaque	organic material	USA	TRUE	WUGSC	700015283	human oral metagenome	human	0	Homo sapiens	NA	HMP-DACC	FALSE	1928
1928.SRS011287.SRX020668.SRR045119	Oral	700015283	Structure, function and diversity of the healthy human microbiome (V35)	TRUE	Supragingival_plaque	38.98	447426	UBERON:tooth	97	urban biome	-77.11	9606	HMP_SRS011287.SRX020668.SRR045119	host-associated habitat	human-oral	supragingival dental plaque	UBERON:oral cavity	UBERON:supragingival dental plaque	organic material	USA	TRUE	WUGSC	700015283	human oral metagenome	human	0	Homo sapiens	NA	HMP-DACC	FALSE	1928
1928.SRS011289.SRX020666.SRR044982	Oral	700015286	Structure, function and diversity of the healthy human microbiome (V35)	TRUE	Subgingival_plaque	38.98	447426	UBERON:tooth	97	urban biome	-77.11	9606	HMP_SRS011289.SRX020666.SRR044982	host-associated habitat	human-oral	subgingival dental plaque	UBERON:oral cavity	UBERON:subgingival dental plaque	organic material	USA	TRUE	WUGSC	700015286	human oral metagenome	human	0	Homo sapiens	NA	HMP-DACC	FALSE	1928
1928.SRS011289.SRX020669.SRR045353	Oral	700015286	Structure, function and diversity of the healthy human microbiome (V35)	TRUE	Subgingival_plaque	38.98	447426	UBERON:tooth	97	urban biome	-77.11	9606	HMP_SRS011289.SRX020669.SRR045353	host-associated habitat	human-oral	subgingival dental plaque	UBERON:oral cavity	UBERON:subgingival dental plaque	organic material	USA	TRUE	WUGSC	700015286	human oral metagenome	human	0	Homo sapiens	NA	HMP-DACC	FALSE	1928
1928.SRS011290.SRX020515.SRR045368	Skin	700015289	Structure, function and diversity of the healthy human microbiome (V35)	TRUE	L_Retroauricular_crease	38.98	539655	UBERON:skin of external ear	97	urban biome	-77.11	9606	HMP_SRS011290.SRX020515.SRR045368	host-associated habitat	human-skin	sebum	UBERON:skin	UBERON:sebum	sebum	USA	TRUE	WUGSC	700015289	human skin metagenome	human	0	Homo sapiens	NA	HMP-DACC	FALSE	1928
1928.SRS011292.SRX020515.SRR045374	Skin	700015292	Structure, function and diversity of the healthy human microbiome (V35)	TRUE	R_Retroauricular_crease	38.98	539655	UBERON:skin of external ear	97	urban biome	-77.11	9606	HMP_SRS011292.SRX020515.SRR045374	host-associated habitat	human-skin	sebum	UBERON:skin	UBERON:sebum	sebum	USA	TRUE	WUGSC	700015292	human skin metagenome	human	0	Homo sapiens	NA	HMP-DACC	FALSE	1928
1928.SRS011292.SRX020537.SRR045395	Skin	700015292	Structure, function and diversity of the healthy human microbiome (V35)	TRUE	R_Retroauricular_crease	38.98	539655	UBERON:skin of external ear	97	urban biome	-77.11	9606	HMP_SRS011292.SRX020537.SRR045395	host-associated habitat	human-skin	sebum	UBERON:skin	UBERON:sebum	sebum	USA	TRUE	WUGSC	700015292	human skin metagenome	human	0	Homo sapiens	NA	HMP-DACC	FALSE	1928
1928.SRS011292.SRX020570.SRR047532	Skin	700015292	Structure, function and diversity of the healthy human microbiome (V35)	TRUE	R_Retroauricular_crease	38.98	539655	UBERON:skin of external ear	97	urban biome	-77.11	9606	HMP_SRS011292.SRX020570.SRR047532	host-associated habitat	human-skin	sebum	UBERON:skin	UBERON:sebum	sebum	USA	TRUE	WUGSC	700015292	human skin metagenome	human	0	Homo sapiens	NA	HMP-DACC	FALSE	1928
1928.SRS011293.SRX020515.SRR049319	Skin	700015295	Structure, function and diversity of the healthy human microbiome (V35)	TRUE	L_Antecubital_fossa	38.98	539655	UBERON:skin of elbow	97	urban biome	-77.11	9606	HMP_SRS011293.SRX020515.SRR049319	host-associated habitat	human-skin	sebum	UBERON:skin	UBERON:sebum	sebum	USA	TRUE	WUGSC	700015295	human skin metagenome	human	0	Homo sapiens	NA	HMP-DACC	FALSE	1928
1928.SRS011294.SRX020515.SRR045377	Skin	700015298	Structure, function and diversity of the healthy human microbiome (V35)	TRUE	R_Antecubital_fossa	38.98	539655	UBERON:skin of elbow	97	urban biome	-77.11	9606	HMP_SRS011294.SRX020515.SRR045377	host-associated habitat	human-skin	sebum	UBERON:skin	UBERON:sebum	sebum	USA	TRUE	WUGSC	700015298	human skin metagenome	human	0	Homo sapiens	NA	HMP-DACC	FALSE	1928
1928.SRS011294.SRX020537.SRR045398	Skin	700015298	Structure, function and diversity of the healthy human microbiome (V35)	TRUE	R_Antecubital_fossa	38.98	539655	UBERON:skin of elbow	97	urban biome	-77.11	9606	HMP_SRS011294.SRX020537.SRR045398	host-associated habitat	human-skin	sebum	UBERON:skin	UBERON:sebum	sebum	USA	TRUE	WUGSC	700015298	human skin metagenome	human	0	Homo sapiens	NA	HMP-DACC	FALSE	1928
1928.SRS011294.SRX020570.SRR049323	Skin	700015298	Structure, function and diversity of the healthy human microbiome (V35)	TRUE	R_Antecubital_fossa	38.98	539655	UBERON:skin of elbow	97	urban biome	-77.11	9606	HMP_SRS011294.SRX020570.SRR049323	host-associated habitat	human-skin	sebum	UBERON:skin	UBERON:sebum	sebum	USA	TRUE	WUGSC	700015298	human skin metagenome	human	0	Homo sapiens	NA	HMP-DACC	FALSE	1928
1928.SRS011296.SRX020666.SRR044980	Skin	700015301	Structure, function and diversity of the healthy human microbiome (V35)	TRUE	Anterior_nares	38.98	539655	UBERON:skin of nose	97	urban biome	-77.11	9606	HMP_SRS011296.SRX020666.SRR044980	host-associated habitat	human-skin	sebum	UBERON:skin	UBERON:sebum	sebum	USA	TRUE	WUGSC	700015301	human skin metagenome	human	0	Homo sapiens	NA	HMP-DACC	FALSE	1928
